Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
optimal,29,NeutralFiller,find ,picture,picture3.jpg,find _picture,find _picture_AAE.mp3,,,,,footprint,footprint2.jpg,cookies,cookies1.jpg,mittens,mittens1.jpg,AAE
suboptimal,2,Predictive,climb,tree,tree1.jpg,climb_tree,climb_tree_GAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel1.jpg,doll,doll1.jpg,juice,juice3.jpg,GAE
suboptimal,1,Predictive,toast,bread,bread4.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 1.jpg,shirt,shirt4.jpg,couch,couch3.jpg,GAE
intermediate,28,NeutralFiller,hold,football,football1.jpg,hold_football,hold_football_GAE.mp3,,,,,pickle,pickle3.jpg,whistle,whistle3.jpg,costume,costume2.jpg,GAE
optimal,32,NeutralFiller,find ,dog,dog2.jpg,find _dog,find _dog_AAE.mp3,,,,,can,can2.jpg,milk,milk2.jpg,truck,truck3.jpg,AAE
suboptimal,37,Filler,buy,shirt,shirt2.jpg,buy_shirt,buy_shirt_GAE.mp3,,,,,horse ,horse 2.jpg,bread,bread2.jpg,couch,couch2.jpg,GAE
intermediate,16,Predictive,kick,ball,ball3.jpg,kick_ball,kick_ball_GAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart2.jpg,cat,cat2.jpg,mail,mail1.jpg,GAE
suboptimal,51,Filler,get,can,can4.jpg,get_can,get_can_GAE.mp3,,,,,costume,costume3.jpg,kite,kite2.jpg,bike,bike1.jpg,GAE
optimal,8,Predictive,read,book,book1.jpg,read_book,read_book_AAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa2.jpg,ring,ring4.jpg,horse,horse2.jpg,AAE
optimal,3,Predictive,pour ,juice,juice1.jpg,pour _juice,pour _juice_AAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck4.jpg,book,book4.jpg,bell,bell1.jpg,AAE
intermediate,8,Predictive,read,book,book2.jpg,read_book,read_book_GAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa1.jpg,ring,ring3.jpg,horse,horse3.jpg,GAE
intermediate,3,Predictive,pour ,juice,juice2.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck1.jpg,book,book3.jpg,bell,bell2.jpg,GAE
optimal,4,Predictive,drink ,milk,milk4.jpg,drink _milk,drink _milk_AAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor2.jpg,ball,ball4.jpg,dress,dress3.jpg,AAE
suboptimal,5,Predictive,win,trophy,trophy4.jpg,win_trophy,win_trophy_GAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail4.jpg,santa,santa3.jpg,whisle,whisle3.jpg,GAE
suboptimal,39,Filler,find,dress,dress2.jpg,find_dress,find_dress_GAE.mp3,,,,,tractor,tractor3.jpg,milk,milk3.jpg,ball,ball2.jpg,GAE
